"","type","name","n","reportdate"
"1","Tanks ","T-64BV",3,2022-03-14
"2","Tanks ","T-72A",7,2022-03-14
"3","Tanks ","T-72AV",3,2022-03-14
"4","Tanks ","T-72B",35,2022-03-14
"5","Tanks ","T-72B Obr. 1989",5,2022-03-14
"6","Tanks ","T-72B3",13,2022-03-14
"7","Tanks ","T-72B3 Obr. 2016",53,2022-03-14
"8","Tanks ","T-80BV",7,2022-03-14
"9","Tanks ","T-80U",41,2022-03-14
"10","Tanks ","T-80UK",1,2022-03-14
"11","Tanks ","T-80BVM",14,2022-03-14
"12","Tanks ","T-90A",16,2022-03-14
"13","Tanks ","Unknown tank",8,2022-03-14
"14","Armoured Fighting Vehicles ","BRM-1K",3,2022-03-14
"15","Armoured Fighting Vehicles ","BMP-1Khs",1,2022-03-14
"16","Armoured Fighting Vehicles ","MT-LB",68,2022-03-14
"17","Armoured Fighting Vehicles ","MT-LB with ZU-23 AA gun",2,2022-03-14
"18","Armoured Fighting Vehicles ","MT-LBM 6MB",1,2022-03-14
"19","Armoured Fighting Vehicles ","MT-LB Ambulance",1,2022-03-14
"20","Armoured Fighting Vehicles ","MT-LBu",8,2022-03-14
"21","Armoured Fighting Vehicles ","1V13 battery fire control center",2,2022-03-14
"22","Armoured Fighting Vehicles ","Vityaz DT-30 articulated tracked carrier",2,2022-03-14
"23","Armoured Fighting Vehicles ","2S1 with ZU-23 AA gun",1,2022-03-14
"24","Armoured Fighting Vehicles ","9P149 Shturm-S ATGM carrier",2,2022-03-14
"25","Armoured Fighting Vehicles ","BMD-1KSh-A command vehicle",1,2022-03-14
"26","Armoured Fighting Vehicles ","R-149MA1 unified command and staff vehicle",7,2022-03-14
"27","Armoured Fighting Vehicles ","R-149MA3 command and staff vehicle",2,2022-03-14
"28","Armoured Fighting Vehicles ","1V119 artillery battalion fire direction vehicle",3,2022-03-14
"29","Armoured Fighting Vehicles ","TZM-T reloader vehicle",2,2022-03-14
"30","Armoured Fighting Vehicles ","Unknown BTR-D/BMD-2",9,2022-03-14
"31","Armoured Fighting Vehicles ","Unknown AFV",13,2022-03-14
"32","Infantry Fighting Vehicles ","BMP-1",13,2022-03-14
"33","Infantry Fighting Vehicles ","BMP-2",66,2022-03-14
"34","Infantry Fighting Vehicles ","BMP-2K",1,2022-03-14
"35","Infantry Fighting Vehicles ","BMP-3",23,2022-03-14
"36","Infantry Fighting Vehicles ","BMD-2",45,2022-03-14
"37","Infantry Fighting Vehicles ","BMD-4M",12,2022-03-14
"38","Infantry Fighting Vehicles ","BTR-82A",26,2022-03-14
"39","Armoured Personnel Carriers ","BTR-80",35,2022-03-14
"40","Armoured Personnel Carriers ","BTR-D",25,2022-03-14
"41","Armoured Personnel Carriers ","BTR-MDM 'Rakushka'",4,2022-03-14
"42","Mine-Resistant Ambush Protected  Vehicles ","KamAZ-63968 'Typhoon'",4,2022-03-14
"43","Mine-Resistant Ambush Protected  Vehicles ","K-53949 Typhoon-K",4,2022-03-14
"44","Mine-Resistant Ambush Protected  Vehicles ","K-53949 'Linza'",1,2022-03-14
"45","Infantry Mobility Vehicles ","GAZ Tigr-M",33,2022-03-14
"46","Infantry Mobility Vehicles ","Iveco LMV 'Rys'",6,2022-03-14
"47","Communications Stations ","MP-2IM signals vehicle",1,2022-03-14
"48","Communications Stations ","Barnaul-T 9<U+0421>932-1 automated system for air defence units",3,2022-03-14
"49","Communications Stations ","R-166-0.5 signals vehicle",2,2022-03-14
"50","Communications Stations ","R-419L1 communications station",1,2022-03-14
"51","Communications Stations ","Unknown communications station based on the KamAZ 6x6",1,2022-03-14
"52","Communications Stations ","Unknown communications station",1,2022-03-14
"53","Engineering Vehicles ","BTR-D APC with UR-67 mine clearing charge",1,2022-03-14
"54","Engineering Vehicles ","UR-77 'Meterorit'  mine clearing vehicle",5,2022-03-14
"55","Engineering Vehicles ","GMZ-3 minelayer",1,2022-03-14
"56","Engineering Vehicles ","BAT-2 heavy engineering vehicle",1,2022-03-14
"57","Engineering Vehicles ","BREM-1 armoured recovery vehicle",1,2022-03-14
"58","Engineering Vehicles ","BREM-K armoured recovery vehicle",2,2022-03-14
"59","Engineering Vehicles ","BREM-Ch ''BREM-4'' armoured recovery vehicle",1,2022-03-14
"60","Engineering Vehicles ","REM-KL armoured recovery vehicle",1,2022-03-14
"61","Engineering Vehicles ","IMR-2 combat engineering vehicle",3,2022-03-14
"62","Engineering Vehicles ","TMM-3 bridge layer",10,2022-03-14
"63","Engineering Vehicles ","MTU-72 bridge layer",1,2022-03-14
"64","Engineering Vehicles ","PMP floating bridge",4,2022-03-14
"65","Engineering Vehicles ","PTS-3  tracked amphibious transport",2,2022-03-14
"66","Engineering Vehicles ","KamAZ-5350 with EOV-3523 excavator",5,2022-03-14
"67","Engineering Vehicles ","KamAZ-5350 with KS-45719-7M crane",1,2022-03-14
"68","Engineering Vehicles ","KamAZ-5350 with crane",1,2022-03-14
"69","Engineering Vehicles ","Ural-4320 Wrecker",1,2022-03-14
"70","Anti-Tank Guided Missiles ","9M111 Fagot",6,2022-03-14
"71","Anti-Tank Guided Missiles ","9M113 Konkurs",28,2022-03-14
"72","Anti-Tank Guided Missiles ","9M113M Konkurs-M",1,2022-03-14
"73","Anti-Tank Guided Missiles ","9<U+041C>131F Metis-M1",1,2022-03-14
"74","Anti-Tank Guided Missiles ","9M114 Kokon",12,2022-03-14
"75","Man-Portable Air Defence Systems ","9K38 Igla",19,2022-03-14
"76","Man-Portable Air Defence Systems ","9K333 Verba",3,2022-03-14
"77","Heavy Mortars ","120mm 2B11/2S12",4,2022-03-14
"78","Heavy Mortars ","120mm 2B11/2S12A",1,2022-03-14
"79","Towed Artillery ","120mm 2B16 Nona-K howitzer",1,2022-03-14
"80","Towed Artillery ","122mm D-30 howitzer 2A18",19,2022-03-14
"81","Towed Artillery ","152mm 2A65 Msta-B howitzer",6,2022-03-14
"82","Self-Propelled Artillery ","120mm 2S9 Nona",5,2022-03-14
"83","Self-Propelled Artillery ","122mm 2S1 Gvozdika",3,2022-03-14
"84","Self-Propelled Artillery ","152mm 2S3 Akatsiya",6,2022-03-14
